"","av","Time","SharePerHour"
"880","Domestic work",84,0.1
"881","Eat drink",84,0.32
"882","Miscellaneous",84,14.9
"883","Nonsocial leisure",84,0.2
"884","Paid work",84,0.05
"885","Personal care",84,83.71
"886","Religion and volunteering",84,0.05
"887","School / Study",84,0.02
"888","Social leisure",84,0.22
"889","Sport exercise",84,0.02
"890","TV/radio",84,0.37
"891","Cultural leisure",85,0.02
"892","Domestic work",85,0.1
"893","Eat drink",85,0.3
"894","Miscellaneous",85,14.9
"895","Nonsocial leisure",85,0.2
"896","Paid work",85,0.05
"897","Personal care",85,83.73
"898","Religion and volunteering",85,0.05
"899","School / Study",85,0.02
"900","Social leisure",85,0.22
"901","Sport exercise",85,0.02
"902","TV/radio",85,0.37
"903","Cultural leisure",86,0.02
"904","Domestic work",86,0.1
"905","Eat drink",86,0.3
"906","Miscellaneous",86,14.85
"907","Nonsocial leisure",86,0.2
"908","Paid work",86,0.05
"909","Personal care",86,83.78
"910","Religion and volunteering",86,0.05
"911","School / Study",86,0.02
"912","Social leisure",86,0.22
"913","Sport exercise",86,0.02
"914","TV/radio",86,0.37
"915","Cultural leisure",87,0.02
"916","Domestic work",87,0.1
"917","Eat drink",87,0.3
"918","Miscellaneous",87,14.85
"919","Nonsocial leisure",87,0.2
"920","Paid work",87,0.05
"921","Personal care",87,83.78
"922","Religion and volunteering",87,0.05
"923","School / Study",87,0.02
"924","Social leisure",87,0.22
"925","Sport exercise",87,0.02
"926","TV/radio",87,0.37
"927","Cultural leisure",88,0.02
"928","Domestic work",88,0.1
"929","Eat drink",88,0.3
"930","Miscellaneous",88,14.85
"931","Nonsocial leisure",88,0.2
"932","Paid work",88,0.05
"933","Personal care",88,83.78
"934","Religion and volunteering",88,0.05
"935","School / Study",88,0.02
"936","Social leisure",88,0.22
"937","Sport exercise",88,0.02
"938","TV/radio",88,0.37
"939","Cultural leisure",89,0.02
"940","Domestic work",89,0.1
"941","Eat drink",89,0.3
"942","Miscellaneous",89,14.85
"943","Nonsocial leisure",89,0.2
"944","Paid work",89,0.05
"945","Personal care",89,83.78
"946","Religion and volunteering",89,0.05
"947","School / Study",89,0.02
"948","Social leisure",89,0.22
"949","Sport exercise",89,0.02
"950","TV/radio",89,0.37
"951","Cultural leisure",90,0.02
"952","Domestic work",90,0.1
"953","Eat drink",90,0.3
"954","Miscellaneous",90,14.85
"955","Nonsocial leisure",90,0.2
"956","Paid work",90,0.05
"957","Personal care",90,83.78
"958","Religion and volunteering",90,0.05
"959","School / Study",90,0.02
"960","Social leisure",90,0.22
"961","Sport exercise",90,0.02
"962","TV/radio",90,0.37
"963","Cultural leisure",91,0.1
"964","Domestic work",91,0.12
"965","Eat drink",91,0.2
"966","Miscellaneous",91,14.33
"967","Nonsocial leisure",91,0.22
"968","Paid work",91,0.05
"969","Personal care",91,84.28
"970","Religion and volunteering",91,0.1
"971","School / Study",91,0.02
"972","Social leisure",91,0.25
"973","TV/radio",91,0.32
"974","Cultural leisure",92,0.1
"975","Domestic work",92,0.12
"976","Eat drink",92,0.2
"977","Miscellaneous",92,14.33
"978","Nonsocial leisure",92,0.22
"979","Paid work",92,0.05
"980","Personal care",92,84.28
"981","Religion and volunteering",92,0.1
"982","School / Study",92,0.02
"983","Social leisure",92,0.25
"984","TV/radio",92,0.32
"985","Cultural leisure",93,0.1
"986","Domestic work",93,0.12
"987","Eat drink",93,0.2
"988","Miscellaneous",93,14.31
"989","Nonsocial leisure",93,0.22
"990","Paid work",93,0.05
"991","Personal care",93,84.3
"992","Religion and volunteering",93,0.1
"993","School / Study",93,0.02
"994","Social leisure",93,0.25
"995","TV/radio",93,0.32
"996","Cultural leisure",94,0.1
"997","Domestic work",94,0.12
"998","Eat drink",94,0.2
"999","Miscellaneous",94,14.31
"1000","Nonsocial leisure",94,0.22
"1001","Paid work",94,0.05
"1002","Personal care",94,84.33
"1003","Religion and volunteering",94,0.1
"1004","School / Study",94,0.02
"1005","Social leisure",94,0.25
"1006","TV/radio",94,0.3
"1007","Cultural leisure",95,0.1
"1008","Domestic work",95,0.12
"1009","Eat drink",95,0.2
"1010","Miscellaneous",95,14.31
"1011","Nonsocial leisure",95,0.22
"1012","Paid work",95,0.05
"1013","Personal care",95,84.33
"1014","Religion and volunteering",95,0.1
"1015","School / Study",95,0.02
"1016","Social leisure",95,0.25
"1017","TV/radio",95,0.3
"1018","Cultural leisure",96,0.1
"1019","Domestic work",96,0.12
"1020","Eat drink",96,0.2
"1021","Miscellaneous",96,14.26
"1022","Nonsocial leisure",96,0.22
"1023","Paid work",96,0.05
"1024","Personal care",96,84.38
"1025","Religion and volunteering",96,0.07
"1026","School / Study",96,0.02
"1027","Social leisure",96,0.25
"1028","TV/radio",96,0.32
"1029","Cultural leisure",97,0.12
"1030","Domestic work",97,0.12
"1031","Eat drink",97,0.2
"1032","Miscellaneous",97,14.26
"1033","Nonsocial leisure",97,0.22
"1034","Paid work",97,0.05
"1035","Personal care",97,84.35
"1036","Religion and volunteering",97,0.07
"1037","School / Study",97,0.02
"1038","Social leisure",97,0.25
"1039","TV/radio",97,0.32
"1040","Cultural leisure",98,0.12
"1041","Domestic work",98,0.12
"1042","Eat drink",98,0.2
"1043","Miscellaneous",98,14.26
"1044","Nonsocial leisure",98,0.22
"1045","Paid work",98,0.05
"1046","Personal care",98,84.35
"1047","Religion and volunteering",98,0.07
"1048","School / Study",98,0.02
"1049","Social leisure",98,0.25
"1050","TV/radio",98,0.32
"1051","Cultural leisure",99,0.12
"1052","Domestic work",99,0.12
"1053","Eat drink",99,0.2
"1054","Miscellaneous",99,14.26
"1055","Nonsocial leisure",99,0.22
"1056","Paid work",99,0.05
"1057","Personal care",99,84.35
"1058","Religion and volunteering",99,0.07
"1059","School / Study",99,0.02
"1060","Social leisure",99,0.25
"1061","TV/radio",99,0.32
"1062","Cultural leisure",100,0.12
"1063","Domestic work",100,0.12
"1064","Eat drink",100,0.2
"1065","Miscellaneous",100,14.26
"1066","Nonsocial leisure",100,0.22
"1067","Paid work",100,0.05
"1068","Personal care",100,84.35
"1069","Religion and volunteering",100,0.07
"1070","School / Study",100,0.02
"1071","Social leisure",100,0.25
"1072","TV/radio",100,0.32
"1073","Cultural leisure",101,0.1
"1074","Domestic work",101,0.12
"1075","Eat drink",101,0.2
"1076","Miscellaneous",101,14.23
"1077","Nonsocial leisure",101,0.2
"1078","Paid work",101,0.05
"1079","Personal care",101,84.5
"1080","Religion and volunteering",101,0.07
"1081","School / Study",101,0.02
"1082","Social leisure",101,0.25
"1083","TV/radio",101,0.25
"1084","Cultural leisure",102,0.1
"1085","Domestic work",102,0.12
"1086","Eat drink",102,0.2
"1087","Miscellaneous",102,14.23
"1088","Nonsocial leisure",102,0.2
"1089","Paid work",102,0.05
"1090","Personal care",102,84.5
"1091","Religion and volunteering",102,0.07
"1092","School / Study",102,0.02
"1093","Social leisure",102,0.25
"1094","TV/radio",102,0.25
"1095","Cultural leisure",103,0.1
"1096","Domestic work",103,0.12
"1097","Eat drink",103,0.2
"1098","Miscellaneous",103,14.23
"1099","Nonsocial leisure",103,0.2
"1100","Paid work",103,0.05
"1101","Personal care",103,84.5
"1102","Religion and volunteering",103,0.07
"1103","School / Study",103,0.02
"1104","Social leisure",103,0.25
"1105","TV/radio",103,0.25
"1106","Cultural leisure",104,0.07
"1107","Domestic work",104,0.12
"1108","Eat drink",104,0.2
"1109","Miscellaneous",104,14.23
"1110","Nonsocial leisure",104,0.2
"1111","Paid work",104,0.05
"1112","Personal care",104,84.53
"1113","Religion and volunteering",104,0.07
"1114","School / Study",104,0.02
"1115","Social leisure",104,0.25
"1116","TV/radio",104,0.25
"1117","Cultural leisure",105,0.07
"1118","Domestic work",105,0.12
"1119","Eat drink",105,0.2
"1120","Miscellaneous",105,14.23
"1121","Nonsocial leisure",105,0.2
"1122","Paid work",105,0.05
"1123","Personal care",105,84.53
"1124","Religion and volunteering",105,0.07
"1125","School / Study",105,0.02
"1126","Social leisure",105,0.25
"1127","TV/radio",105,0.25
"1128","Cultural leisure",106,0.07
"1129","Domestic work",106,0.12
"1130","Eat drink",106,0.22
"1131","Miscellaneous",106,14.16
"1132","Nonsocial leisure",106,0.12
"1133","Paid work",106,0.07
"1134","Personal care",106,84.63
"1135","Religion and volunteering",106,0.07
"1136","School / Study",106,0.02
"1137","Social leisure",106,0.27
"1138","TV/radio",106,0.22
"1139","Cultural leisure",107,0.07
"1140","Domestic work",107,0.12
"1141","Eat drink",107,0.22
"1142","Miscellaneous",107,14.16
"1143","Nonsocial leisure",107,0.12
"1144","Paid work",107,0.07
"1145","Personal care",107,84.63
"1146","Religion and volunteering",107,0.07
"1147","School / Study",107,0.02
"1148","Social leisure",107,0.27
"1149","TV/radio",107,0.22
"1150","Cultural leisure",108,0.07
"1151","Domestic work",108,0.12
"1152","Eat drink",108,0.22
"1153","Miscellaneous",108,14.16
"1154","Nonsocial leisure",108,0.12
"1155","Paid work",108,0.07
"1156","Personal care",108,84.63
"1157","Religion and volunteering",108,0.07
"1158","School / Study",108,0.02
"1159","Social leisure",108,0.27
"1160","TV/radio",108,0.22
"1161","Cultural leisure",109,0.07
"1162","Domestic work",109,0.12
"1163","Eat drink",109,0.22
"1164","Miscellaneous",109,14.16
"1165","Nonsocial leisure",109,0.12
"1166","Paid work",109,0.07
"1167","Personal care",109,84.63
"1168","Religion and volunteering",109,0.07
"1169","School / Study",109,0.02
"1170","Social leisure",109,0.27
"1171","TV/radio",109,0.22
"1172","Cultural leisure",110,0.07
"1173","Domestic work",110,0.12
"1174","Eat drink",110,0.22
"1175","Miscellaneous",110,14.16
"1176","Nonsocial leisure",110,0.12
"1177","Paid work",110,0.07
"1178","Personal care",110,84.63
"1179","Religion and volunteering",110,0.07
"1180","School / Study",110,0.02
"1181","Social leisure",110,0.27
"1182","TV/radio",110,0.22
"1183","Cultural leisure",111,0.07
"1184","Domestic work",111,0.12
"1185","Eat drink",111,0.22
"1186","Miscellaneous",111,14.11
"1187","Nonsocial leisure",111,0.12
"1188","Paid work",111,0.07
"1189","Personal care",111,84.65
"1190","Religion and volunteering",111,0.07
"1191","School / Study",111,0.02
"1192","Social leisure",111,0.3
"1193","TV/radio",111,0.22
"1194","Cultural leisure",112,0.07
"1195","Domestic work",112,0.12
"1196","Eat drink",112,0.22
"1197","Miscellaneous",112,14.11
"1198","Nonsocial leisure",112,0.12
"1199","Paid work",112,0.07
"1200","Personal care",112,84.65
"1201","Religion and volunteering",112,0.07
"1202","School / Study",112,0.02
"1203","Social leisure",112,0.3
"1204","TV/radio",112,0.22
"1205","Cultural leisure",113,0.07
"1206","Domestic work",113,0.12
"1207","Eat drink",113,0.22
"1208","Miscellaneous",113,14.11
"1209","Nonsocial leisure",113,0.12
"1210","Paid work",113,0.07
"1211","Personal care",113,84.65
"1212","Religion and volunteering",113,0.07
"1213","School / Study",113,0.02
"1214","Social leisure",113,0.3
"1215","TV/radio",113,0.22
"1216","Cultural leisure",114,0.07
"1217","Domestic work",114,0.12
"1218","Eat drink",114,0.22
"1219","Miscellaneous",114,14.11
"1220","Nonsocial leisure",114,0.12
"1221","Paid work",114,0.07
"1222","Personal care",114,84.65
"1223","Religion and volunteering",114,0.07
"1224","School / Study",114,0.02
"1225","Social leisure",114,0.3
"1226","TV/radio",114,0.22
"1227","Cultural leisure",115,0.07
"1228","Domestic work",115,0.12
"1229","Eat drink",115,0.22
"1230","Miscellaneous",115,14.11
"1231","Nonsocial leisure",115,0.12
"1232","Paid work",115,0.07
"1233","Personal care",115,84.65
"1234","Religion and volunteering",115,0.07
"1235","School / Study",115,0.02
"1236","Social leisure",115,0.3
"1237","TV/radio",115,0.22
"1238","Cultural leisure",116,0.07
"1239","Domestic work",116,0.12
"1240","Eat drink",116,0.22
"1241","Miscellaneous",116,14.11
"1242","Nonsocial leisure",116,0.12
"1243","Paid work",116,0.07
"1244","Personal care",116,84.65
"1245","Religion and volunteering",116,0.07
"1246","School / Study",116,0.02
"1247","Social leisure",116,0.3
"1248","TV/radio",116,0.22
"1249","Cultural leisure",117,0.07
"1250","Domestic work",117,0.12
"1251","Eat drink",117,0.22
"1252","Miscellaneous",117,14.11
"1253","Nonsocial leisure",117,0.12
"1254","Paid work",117,0.07
"1255","Personal care",117,84.65
"1256","Religion and volunteering",117,0.07
"1257","School / Study",117,0.02
"1258","Social leisure",117,0.3
"1259","TV/radio",117,0.22
"1260","Cultural leisure",118,0.07
"1261","Domestic work",118,0.12
"1262","Eat drink",118,0.22
"1263","Miscellaneous",118,14.08
"1264","Nonsocial leisure",118,0.15
"1265","Paid work",118,0.07
"1266","Personal care",118,84.65
"1267","Religion and volunteering",118,0.07
"1268","School / Study",118,0.02
"1269","Social leisure",118,0.3
"1270","TV/radio",118,0.22
"1271","Cultural leisure",119,0.07
"1272","Domestic work",119,0.12
"1273","Eat drink",119,0.22
"1274","Miscellaneous",119,14.08
"1275","Nonsocial leisure",119,0.15
"1276","Paid work",119,0.07
"1277","Personal care",119,84.65
"1278","Religion and volunteering",119,0.07
"1279","School / Study",119,0.02
"1280","Social leisure",119,0.3
"1281","TV/radio",119,0.22
"1282","Cultural leisure",120,0.07
"1283","Domestic work",120,0.12
"1284","Eat drink",120,0.22
"1285","Miscellaneous",120,14.08
"1286","Nonsocial leisure",120,0.15
"1287","Paid work",120,0.07
"1288","Personal care",120,84.65
"1289","Religion and volunteering",120,0.07
"1290","School / Study",120,0.02
"1291","Social leisure",120,0.3
"1292","TV/radio",120,0.22
"1293","Cultural leisure",121,0.05
"1294","Domestic work",121,0.12
"1295","Eat drink",121,0.2
"1296","Miscellaneous",121,13.84
"1297","Nonsocial leisure",121,0.22
"1298","Paid work",121,0.07
"1299","Personal care",121,84.92
"1300","Religion and volunteering",121,0.07
"1301","School / Study",121,0.02
"1302","Social leisure",121,0.27
"1303","TV/radio",121,0.2
"1304","Cultural leisure",122,0.05
"1305","Domestic work",122,0.12
"1306","Eat drink",122,0.2
"1307","Miscellaneous",122,13.84
"1308","Nonsocial leisure",122,0.22
"1309","Paid work",122,0.07
"1310","Personal care",122,84.92
"1311","Religion and volunteering",122,0.07
"1312","School / Study",122,0.02
"1313","Social leisure",122,0.27
"1314","TV/radio",122,0.2
"1315","Cultural leisure",123,0.05
"1316","Domestic work",123,0.12
"1317","Eat drink",123,0.2
"1318","Miscellaneous",123,13.84
"1319","Nonsocial leisure",123,0.22
"1320","Paid work",123,0.07
"1321","Personal care",123,84.92
"1322","Religion and volunteering",123,0.07
"1323","School / Study",123,0.02
"1324","Social leisure",123,0.27
"1325","TV/radio",123,0.2
"1326","Cultural leisure",124,0.05
"1327","Domestic work",124,0.12
"1328","Eat drink",124,0.2
"1329","Miscellaneous",124,13.84
"1330","Nonsocial leisure",124,0.22
"1331","Paid work",124,0.07
"1332","Personal care",124,84.92
"1333","Religion and volunteering",124,0.07
"1334","School / Study",124,0.02
"1335","Social leisure",124,0.27
"1336","TV/radio",124,0.2
"1337","Cultural leisure",125,0.05
"1338","Domestic work",125,0.12
"1339","Eat drink",125,0.2
"1340","Miscellaneous",125,13.84
"1341","Nonsocial leisure",125,0.22
"1342","Paid work",125,0.07
"1343","Personal care",125,84.92
"1344","Religion and volunteering",125,0.07
"1345","School / Study",125,0.02
"1346","Social leisure",125,0.27
"1347","TV/radio",125,0.2
"1348","Cultural leisure",126,0.05
"1349","Domestic work",126,0.12
"1350","Eat drink",126,0.22
"1351","Miscellaneous",126,13.79
"1352","Nonsocial leisure",126,0.22
"1353","Paid work",126,0.1
"1354","Personal care",126,84.92
"1355","Religion and volunteering",126,0.07
"1356","School / Study",126,0.02
"1357","Social leisure",126,0.27
"1358","TV/radio",126,0.2
"1359","Cultural leisure",127,0.05
"1360","Domestic work",127,0.12
"1361","Eat drink",127,0.22
"1362","Miscellaneous",127,13.79
"1363","Nonsocial leisure",127,0.22
"1364","Paid work",127,0.1
"1365","Personal care",127,84.92
"1366","Religion and volunteering",127,0.07
"1367","School / Study",127,0.02
"1368","Social leisure",127,0.27
"1369","TV/radio",127,0.2
"1370","Cultural leisure",128,0.05
"1371","Domestic work",128,0.12
"1372","Eat drink",128,0.22
"1373","Miscellaneous",128,13.79
"1374","Nonsocial leisure",128,0.22
"1375","Paid work",128,0.1
"1376","Personal care",128,84.92
"1377","Religion and volunteering",128,0.07
"1378","School / Study",128,0.02
"1379","Social leisure",128,0.27
"1380","TV/radio",128,0.2
"1381","Cultural leisure",129,0.05
"1382","Domestic work",129,0.12
"1383","Eat drink",129,0.22
"1384","Miscellaneous",129,13.79
"1385","Nonsocial leisure",129,0.22
"1386","Paid work",129,0.1
"1387","Personal care",129,84.92
"1388","Religion and volunteering",129,0.07
"1389","School / Study",129,0.02
"1390","Social leisure",129,0.27
"1391","TV/radio",129,0.2
"1392","Cultural leisure",130,0.05
"1393","Domestic work",130,0.12
"1394","Eat drink",130,0.22
"1395","Miscellaneous",130,13.76
"1396","Nonsocial leisure",130,0.25
"1397","Paid work",130,0.1
"1398","Personal care",130,84.92
"1399","Religion and volunteering",130,0.07
"1400","School / Study",130,0.02
"1401","Social leisure",130,0.27
"1402","TV/radio",130,0.2
"1403","Cultural leisure",131,0.05
"1404","Domestic work",131,0.12
"1405","Eat drink",131,0.22
"1406","Miscellaneous",131,13.76
"1407","Nonsocial leisure",131,0.25
"1408","Paid work",131,0.1
"1409","Personal care",131,84.92
"1410","Religion and volunteering",131,0.07
"1411","School / Study",131,0.02
"1412","Social leisure",131,0.27
"1413","TV/radio",131,0.2
"1414","Cultural leisure",132,0.05
"1415","Domestic work",132,0.12
"1416","Eat drink",132,0.22
"1417","Miscellaneous",132,13.76
"1418","Nonsocial leisure",132,0.25
"1419","Paid work",132,0.1
"1420","Personal care",132,84.92
"1421","Religion and volunteering",132,0.07
"1422","School / Study",132,0.02
"1423","Social leisure",132,0.27
"1424","TV/radio",132,0.2
"1425","Cultural leisure",133,0.05
"1426","Domestic work",133,0.12
"1427","Eat drink",133,0.22
"1428","Miscellaneous",133,13.76
"1429","Nonsocial leisure",133,0.25
"1430","Paid work",133,0.1
"1431","Personal care",133,84.92
"1432","Religion and volunteering",133,0.07
"1433","School / Study",133,0.02
"1434","Social leisure",133,0.27
"1435","TV/radio",133,0.2
"1436","Cultural leisure",134,0.05
"1437","Domestic work",134,0.12
"1438","Eat drink",134,0.22
"1439","Miscellaneous",134,13.76
"1440","Nonsocial leisure",134,0.25
"1441","Paid work",134,0.1
"1442","Personal care",134,84.92
"1443","Religion and volunteering",134,0.07
